UUID,Council Code,Council Name,Care Type,Activity Provision,Age Bands,Primary support reason,Long Term Support Setting,Short Term Purpose,Data Type,Value,Notes
8611502,106,Gateshead,Long term,External,Age 18 to 64,Mental health support,Nursing,-,Mandatory,307.64,
8611602,106,Gateshead,Long term,External,Age 65 and over,Physical support,Nursing,-,Mandatory,6192.93,
8611702,106,Gateshead,Long term,External,Age 65 and over,Sensory support,Nursing,-,Mandatory,184,
8611802,106,Gateshead,Long term,External,Age 65 and over,Support with memory and cognition,Nursing,-,Mandatory,2984.57,
8611902,106,Gateshead,Long term,External,Age 65 and over,Learning disability support,Nursing,-,Mandatory,95.86,
8612002,106,Gateshead,Long term,External,Age 65 and over,Mental health support,Nursing,-,Mandatory,1759.21,
8622101,106,Gateshead,Short term,In house,Age 18 to 64,Physical support,-,To maximise independence,Mandatory,43.59,
8622102,106,Gateshead,Short term,External,Age 18 to 64,Physical support,-,To maximise independence,Mandatory,0,
8622201,106,Gateshead,Short term,In house,Age 18 to 64,Sensory support,-,To maximise independence,Mandatory,0,
8622202,106,Gateshead,Short term,External,Age 18 to 64,Sensory support,-,To maximise independence,Mandatory,0,
8622301,106,Gateshead,Short term,In house,Age 18 to 64,Support with memory and cognition,-,To maximise independence,Mandatory,0,
8622302,106,Gateshead,Short term,External,Age 18 to 64,Support with memory and cognition,-,To maximise independence,Mandatory,0,
8622401,106,Gateshead,Short term,In house,Age 18 to 64,Learning disability support,-,To maximise independence,Mandatory,1.2,
8622402,106,Gateshead,Short term,External,Age 18 to 64,Learning disability support,-,To maximise independence,Mandatory,0,
8622501,106,Gateshead,Short term,In house,Age 18 to 64,Mental health support,-,To maximise independence,Mandatory,1.3,
8622502,106,Gateshead,Short term,External,Age 18 to 64,Mental health support,-,To maximise independence,Mandatory,0,
8622601,106,Gateshead,Short term,In house,Age 65 and over,Physical support,-,To maximise independence,Mandatory,786.6,
8622602,106,Gateshead,Short term,External,Age 65 and over,Physical support,-,To maximise independence,Mandatory,0,
8622701,106,Gateshead,Short term,In house,Age 65 and over,Sensory support,-,To maximise independence,Mandatory,25.3,
8622702,106,Gateshead,Short term,External,Age 65 and over,Sensory support,-,To maximise independence,Mandatory,0,
8622801,106,Gateshead,Short term,In house,Age 65 and over,Support with memory and cognition,-,To maximise independence,Mandatory,36.48,
8622802,106,Gateshead,Short term,External,Age 65 and over,Support with memory and cognition,-,To maximise independence,Mandatory,0,
8622901,106,Gateshead,Short term,In house,Age 65 and over,Learning disability support,-,To maximise independence,Mandatory,0,
8622902,106,Gateshead,Short term,External,Age 65 and over,Learning disability support,-,To maximise independence,Mandatory,0,
8623001,106,Gateshead,Short term,In house,Age 65 and over,Mental health support,-,To maximise independence,Mandatory,36.16,
8623002,106,Gateshead,Short term,External,Age 65 and over,Mental health support,-,To maximise independence,Mandatory,0,
8623101,106,Gateshead,Short term,In house,Age 65 to 74,Physical support,-,To maximise independence,Voluntary,,
8623102,106,Gateshead,Short term,External,Age 65 to 74,Physical support,-,To maximise independence,Voluntary,,
8623201,106,Gateshead,Short term,In house,Age 65 to 74,Sensory support,-,To maximise independence,Voluntary,,
8623202,106,Gateshead,Short term,External,Age 65 to 74,Sensory support,-,To maximise independence,Voluntary,,
8623301,106,Gateshead,Short term,In house,Age 65 to 74,Support with memory and cognition,-,To maximise independence,Voluntary,,
8623302,106,Gateshead,Short term,External,Age 65 to 74,Support with memory and cognition,-,To maximise independence,Voluntary,,
8623401,106,Gateshead,Short term,In house,Age 65 to 74,Learning disability support,-,To maximise independence,Voluntary,,
8623402,106,Gateshead,Short term,External,Age 65 to 74,Learning disability support,-,To maximise independence,Voluntary,,
8623501,106,Gateshead,Short term,In house,Age 65 to 74,Mental health support,-,To maximise independence,Voluntary,,
8623502,106,Gateshead,Short term,External,Age 65 to 74,Mental health support,-,To maximise independence,Voluntary,,
8623601,106,Gateshead,Short term,In house,Age 75 to 84,Physical support,-,To maximise independence,Voluntary,,
8623602,106,Gateshead,Short term,External,Age 75 to 84,Physical support,-,To maximise independence,Voluntary,,
8623701,106,Gateshead,Short term,In house,Age 75 to 84,Sensory support,-,To maximise independence,Voluntary,,
8623702,106,Gateshead,Short term,External,Age 75 to 84,Sensory support,-,To maximise independence,Voluntary,,
8623801,106,Gateshead,Short term,In house,Age 75 to 84,Support with memory and cognition,-,To maximise independence,Voluntary,,
8623802,106,Gateshead,Short term,External,Age 75 to 84,Support with memory and cognition,-,To maximise independence,Voluntary,,
8623901,106,Gateshead,Short term,In house,Age 75 to 84,Learning disability support,-,To maximise independence,Voluntary,,
8623902,106,Gateshead,Short term,External,Age 75 to 84,Learning disability support,-,To maximise independence,Voluntary,,
8624001,106,Gateshead,Short term,In house,Age 75 to 84,Mental health support,-,To maximise independence,Voluntary,,
8624002,106,Gateshead,Short term,External,Age 75 to 84,Mental health support,-,To maximise independence,Voluntary,,
8624101,106,Gateshead,Short term,In house,Age 85 and over,Physical support,-,To maximise independence,Voluntary,,
8624102,106,Gateshead,Short term,External,Age 85 and over,Physical support,-,To maximise independence,Voluntary,,
8624201,106,Gateshead,Short term,In house,Age 85 and over,Sensory support,-,To maximise independence,Voluntary,,
8624202,106,Gateshead,Short term,External,Age 85 and over,Sensory support,-,To maximise independence,Voluntary,,
8624301,106,Gateshead,Short term,In house,Age 85 and over,Support with memory and cognition,-,To maximise independence,Voluntary,,
8624302,106,Gateshead,Short term,External,Age 85 and over,Support with memory and cognition,-,To maximise independence,Voluntary,,
8624401,106,Gateshead,Short term,In house,Age 85 and over,Learning disability support,-,To maximise independence,Voluntary,,
8624402,106,Gateshead,Short term,External,Age 85 and over,Learning disability support,-,To maximise independence,Voluntary,,
8624501,106,Gateshead,Short term,In house,Age 85 and over,Mental health support,-,To maximise independence,Voluntary,,
8624502,106,Gateshead,Short term,External,Age 85 and over,Mental health support,-,To maximise independence,Voluntary,,
8632101,106,Gateshead,Long term,In house,Age 65 to 74,Physical support,Residential,-,Voluntary,,
8632102,106,Gateshead,Long term,External,Age 65 to 74,Physical support,Residential,-,Voluntary,,
8632201,106,Gateshead,Long term,In house,Age 65 to 74,Sensory support,Residential,-,Voluntary,,
8632202,106,Gateshead,Long term,External,Age 65 to 74,Sensory support,Residential,-,Voluntary,,
8632301,106,Gateshead,Long term,In house,Age 65 to 74,Support with memory and cognition,Residential,-,Voluntary,,
8632302,106,Gateshead,Long term,External,Age 65 to 74,Support with memory and cognition,Residential,-,Voluntary,,
8632401,106,Gateshead,Long term,In house,Age 65 to 74,Learning disability support,Residential,-,Voluntary,,
8632402,106,Gateshead,Long term,External,Age 65 to 74,Learning disability support,Residential,-,Voluntary,,
8632501,106,Gateshead,Long term,In house,Age 65 to 74,Mental health support,Residential,-,Voluntary,,
8632502,106,Gateshead,Long term,External,Age 65 to 74,Mental health support,Residential,-,Voluntary,,
8632601,106,Gateshead,Long term,In house,Age 75 to 84,Physical support,Residential,-,Voluntary,,
8632602,106,Gateshead,Long term,External,Age 75 to 84,Physical support,Residential,-,Voluntary,,
8632701,106,Gateshead,Long term,In house,Age 75 to 84,Sensory support,Residential,-,Voluntary,,
8632702,106,Gateshead,Long term,External,Age 75 to 84,Sensory support,Residential,-,Voluntary,,
8632801,106,Gateshead,Long term,In house,Age 75 to 84,Support with memory and cognition,Residential,-,Voluntary,,
8632802,106,Gateshead,Long term,External,Age 75 to 84,Support with memory and cognition,Residential,-,Voluntary,,
8632901,106,Gateshead,Long term,In house,Age 75 to 84,Learning disability support,Residential,-,Voluntary,,
8632902,106,Gateshead,Long term,External,Age 75 to 84,Learning disability support,Residential,-,Voluntary,,
8633001,106,Gateshead,Long term,In house,Age 75 to 84,Mental health support,Residential,-,Voluntary,,
8633002,106,Gateshead,Long term,External,Age 75 to 84,Mental health support,Residential,-,Voluntary,,
8633101,106,Gateshead,Long term,In house,Age 85 and over,Physical support,Residential,-,Voluntary,,
8633102,106,Gateshead,Long term,External,Age 85 and over,Physical support,Residential,-,Voluntary,,
8633201,106,Gateshead,Long term,In house,Age 85 and over,Sensory support,Residential,-,Voluntary,,
8633202,106,Gateshead,Long term,External,Age 85 and over,Sensory support,Residential,-,Voluntary,,
8633301,106,Gateshead,Long term,In house,Age 85 and over,Support with memory and cognition,Residential,-,Voluntary,,
8633302,106,Gateshead,Long term,External,Age 85 and over,Support with memory and cognition,Residential,-,Voluntary,,
8633401,106,Gateshead,Long term,In house,Age 85 and over,Learning disability support,Residential,-,Voluntary,,
8633402,106,Gateshead,Long term,External,Age 85 and over,Learning disability support,Residential,-,Voluntary,,
8633501,106,Gateshead,Long term,In house,Age 85 and over,Mental health support,Residential,-,Voluntary,,
8633502,106,Gateshead,Long term,External,Age 85 and over,Mental health support,Residential,-,Voluntary,,
8633602,106,Gateshead,Long term,External,Age 65 to 74,Physical support,Nursing,-,Voluntary,,
8633702,106,Gateshead,Long term,External,Age 65 to 74,Sensory support,Nursing,-,Voluntary,,
8633802,106,Gateshead,Long term,External,Age 65 to 74,Support with memory and cognition,Nursing,-,Voluntary,,
8633902,106,Gateshead,Long term,External,Age 65 to 74,Learning disability support,Nursing,-,Voluntary,,
8634002,106,Gateshead,Long term,External,Age 65 to 74,Mental health support,Nursing,-,Voluntary,,
8634102,106,Gateshead,Long term,External,Age 75 to 84,Physical support,Nursing,-,Voluntary,,
8634202,106,Gateshead,Long term,External,Age 75 to 84,Sensory support,Nursing,-,Voluntary,,
8634302,106,Gateshead,Long term,External,Age 75 to 84,Support with memory and cognition,Nursing,-,Voluntary,,
8634402,106,Gateshead,Long term,External,Age 75 to 84,Learning disability support,Nursing,-,Voluntary,,
8634502,106,Gateshead,Long term,External,Age 75 to 84,Mental health support,Nursing,-,Voluntary,,
8634602,106,Gateshead,Long term,External,Age 85 and over,Physical support,Nursing,-,Voluntary,,
8634702,106,Gateshead,Long term,External,Age 85 and over,Sensory support,Nursing,-,Voluntary,,
8634802,106,Gateshead,Long term,External,Age 85 and over,Support with memory and cognition,Nursing,-,Voluntary,,
8634902,106,Gateshead,Long term,External,Age 85 and over,Learning disability support,Nursing,-,Voluntary,,
8635002,106,Gateshead,Long term,External,Age 85 and over,Mental health support,Nursing,-,Voluntary,,
8610101,107,Newcastle upon Tyne,Long term,In house,Age 18 to 64,Physical support,Residential,-,Mandatory,0,
8610102,107,Newcastle upon Tyne,Long term,External,Age 18 to 64,Physical support,Residential,-,Mandatory,514,
8610201,107,Newcastle upon Tyne,Long term,In house,Age 18 to 64,Sensory support,Residential,-,Mandatory,0,
8610202,107,Newcastle upon Tyne,Long term,External,Age 18 to 64,Sensory support,Residential,-,Mandatory,52,
8610301,107,Newcastle upon Tyne,Long term,In house,Age 18 to 64,Support with memory and cognition,Residential,-,Mandatory,0,
8610302,107,Newcastle upon Tyne,Long term,External,Age 18 to 64,Support with memory and cognition,Residential,-,Mandatory,283,
8610401,107,Newcastle upon Tyne,Long term,In house,Age 18 to 64,Learning disability support,Residential,-,Mandatory,0,
8610402,107,Newcastle upon Tyne,Long term,External,Age 18 to 64,Learning disability support,Residential,-,Mandatory,3487,
8610501,107,Newcastle upon Tyne,Long term,In house,Age 18 to 64,Mental health support,Residential,-,Mandatory,0,
8610502,107,Newcastle upon Tyne,Long term,External,Age 18 to 64,Mental health support,Residential,-,Mandatory,1799,
8610601,107,Newcastle upon Tyne,Long term,In house,Age 65 and over,Physical support,Residential,-,Mandatory,0,
8610602,107,Newcastle upon Tyne,Long term,External,Age 65 and over,Physical support,Residential,-,Mandatory,13171,
8610701,107,Newcastle upon Tyne,Long term,In house,Age 65 and over,Sensory support,Residential,-,Mandatory,0,
8610702,107,Newcastle upon Tyne,Long term,External,Age 65 and over,Sensory support,Residential,-,Mandatory,450,
8610801,107,Newcastle upon Tyne,Long term,In house,Age 65 and over,Support with memory and cognition,Residential,-,Mandatory,0,
8610802,107,Newcastle upon Tyne,Long term,External,Age 65 and over,Support with memory and cognition,Residential,-,Mandatory,9835,
8610901,107,Newcastle upon Tyne,Long term,In house,Age 65 and over,Learning disability support,Residential,-,Mandatory,0,
8610902,107,Newcastle upon Tyne,Long term,External,Age 65 and over,Learning disability support,Residential,-,Mandatory,922,
8611001,107,Newcastle upon Tyne,Long term,In house,Age 65 and over,Mental health support,Residential,-,Mandatory,0,
8611002,107,Newcastle upon Tyne,Long term,External,Age 65 and over,Mental health support,Residential,-,Mandatory,4731,
8611102,107,Newcastle upon Tyne,Long term,External,Age 18 to 64,Physical support,Nursing,-,Mandatory,1084,
8611202,107,Newcastle upon Tyne,Long term,External,Age 18 to 64,Sensory support,Nursing,-,Mandatory,52,
8611302,107,Newcastle upon Tyne,Long term,External,Age 18 to 64,Support with memory and cognition,Nursing,-,Mandatory,104,
8611402,107,Newcastle upon Tyne,Long term,External,Age 18 to 64,Learning disability support,Nursing,-,Mandatory,266,
